,Person_age,No_of_child,Child_ages,Gender,plan_name,cover,Facility,No of Hospitals,Monthly charge,Annually charge
16,20,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
17,20,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
18,20,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
19,20,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
20,20,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
21,20,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
22,20,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
23,20,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
24,20,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
25,20,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
26,20,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
27,20,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
28,20,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
29,20,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
30,20,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
31,20,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
32,20,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
33,20,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
34,20,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
35,20,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
0,20,1,[1],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
1,20,1,[1],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
2,20,1,[1],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
3,20,1,[1],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
4,20,1,[1],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
5,20,1,[1],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
6,20,1,[1],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
7,20,1,[1],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
8,20,1,[1],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
9,20,1,[1],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
10,20,1,[1],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
11,20,1,[1],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
12,20,1,[1],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
13,20,1,[1],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
14,20,1,[1],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
15,20,1,[1],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
16,20,1,[1],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
17,20,1,[1],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
18,20,1,[1],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
19,20,1,[1],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
20,20,1,[1],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
21,20,1,[1],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
22,20,1,[1],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
23,20,1,[1],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
24,20,1,[1],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
25,20,1,[1],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
26,20,1,[1],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
27,20,1,[1],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
28,20,1,[1],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
29,20,1,[1],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
30,20,1,[1],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
31,20,1,[1],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
32,20,1,[1],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
33,20,1,[1],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
34,20,1,[1],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
35,20,1,[1],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
0,21,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
1,21,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
2,21,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
3,21,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
4,21,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
5,21,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,21,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,21,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,21,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,21,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,21,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,21,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,21,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,21,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
14,21,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
15,21,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
16,21,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
17,21,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
18,21,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
19,21,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
20,21,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
21,21,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
22,21,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
23,21,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
24,21,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
25,21,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
26,21,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
27,21,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
28,21,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
29,21,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
30,21,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
31,21,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
32,21,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
33,21,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
34,21,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
35,21,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
0,21,1,[2],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
1,21,1,[2],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
2,21,1,[2],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
3,21,1,[2],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
4,21,1,[2],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
5,21,1,[2],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
6,21,1,[2],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
7,21,1,[2],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
8,21,1,[2],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
9,21,1,[2],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
10,21,1,[2],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
11,21,1,[2],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
12,21,1,[2],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
13,21,1,[2],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
14,21,1,[2],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
15,21,1,[2],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
16,21,1,[2],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
17,21,1,[2],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
18,21,1,[2],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
19,21,1,[2],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
20,21,1,[2],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
21,21,1,[2],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
22,21,1,[2],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
23,21,1,[2],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
24,21,1,[2],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
25,21,1,[2],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
26,21,1,[2],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
27,21,1,[2],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
28,21,1,[2],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
29,21,1,[2],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
30,21,1,[2],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
31,21,1,[2],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
32,21,1,[2],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
33,21,1,[2],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
34,21,1,[2],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
35,21,1,[2],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
0,21,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
1,21,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
2,21,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
3,21,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
4,21,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
5,21,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,21,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,21,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,21,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,21,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,21,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,21,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,21,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,21,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
14,21,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
15,21,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
16,21,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
17,21,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
18,21,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
19,21,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
20,21,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
21,21,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
22,21,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
23,21,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
24,21,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
25,21,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
26,21,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
27,21,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
28,21,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
29,21,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
30,21,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
31,21,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
32,21,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
33,21,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
34,21,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
35,21,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
0,21,1,[2],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
1,21,1,[2],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
2,21,1,[2],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
3,21,1,[2],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
4,21,1,[2],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
5,21,1,[2],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
6,21,1,[2],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
7,21,1,[2],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
8,21,1,[2],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
9,21,1,[2],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
10,21,1,[2],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
11,21,1,[2],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
12,21,1,[2],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
13,21,1,[2],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
14,21,1,[2],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
15,21,1,[2],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
16,21,1,[2],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
17,21,1,[2],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
18,21,1,[2],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
19,21,1,[2],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
20,21,1,[2],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
21,21,1,[2],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
22,21,1,[2],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
23,21,1,[2],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
24,21,1,[2],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
25,21,1,[2],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
26,21,1,[2],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
27,21,1,[2],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
28,21,1,[2],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
29,21,1,[2],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
30,21,1,[2],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
31,21,1,[2],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
32,21,1,[2],Female,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
33,21,1,[2],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
34,21,1,[2],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
35,21,1,[2],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
0,22,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
1,22,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
2,22,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
3,22,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
4,22,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
5,22,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,22,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,22,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,22,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,22,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,22,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,22,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,22,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,22,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
